STATE,DISTRICT,MURDER,YEAR
"ARUNACHAL PRADESH","SIANG UPPER",1,2006
"ARUNACHAL PRADESH","SIANG UPPER",1,2008
"ARUNACHAL PRADESH","SIANG UPPER",1,2012
"ARUNACHAL PRADESH","SIANG UPPER",2,2007
"ARUNACHAL PRADESH","SIANG UPPER",2,2011
"ARUNACHAL PRADESH","SIANG UPPER",3,2010
"ARUNACHAL PRADESH","SIANG UPPER",4,2003
"ARUNACHAL PRADESH","SIANG UPPER",5,2005
"ARUNACHAL PRADESH","SIANG WEST",2,2011
"ARUNACHAL PRADESH","SIANG WEST",3,2004
"ARUNACHAL PRADESH","SIANG WEST",4,2002
"ARUNACHAL PRADESH","SIANG WEST",4,2005
"ARUNACHAL PRADESH","SIANG WEST",4,2012
"ARUNACHAL PRADESH","SIANG WEST",5,2001
"ARUNACHAL PRADESH","SIANG WEST",5,2003
"ARUNACHAL PRADESH","SIANG WEST",6,2006
"ARUNACHAL PRADESH","SIANG WEST",6,2007
"ARUNACHAL PRADESH","SIANG WEST",6,2008
"ARUNACHAL PRADESH","SIANG WEST",9,2010
"ARUNACHAL PRADESH","SIANG WEST",11,2009
"ARUNACHAL PRADESH","SUBANSIRI LOWER",0,2007
"ARUNACHAL PRADESH","SUBANSIRI LOWER",1,2009
"ARUNACHAL PRADESH","SUBANSIRI LOWER",3,2003
"ARUNACHAL PRADESH","SUBANSIRI LOWER",3,2010
"ARUNACHAL PRADESH","SUBANSIRI LOWER",4,2006
"ARUNACHAL PRADESH","SUBANSIRI LOWER",4,2008
"ARUNACHAL PRADESH","SUBANSIRI LOWER",4,2011
"ARUNACHAL PRADESH","SUBANSIRI LOWER",4,2012
"ARUNACHAL PRADESH","SUBANSIRI LOWER",5,2005
"ARUNACHAL PRADESH","SUBANSIRI LOWER",8,2001
"ARUNACHAL PRADESH","SUBANSIRI LOWER",8,2002
"ARUNACHAL PRADESH","SUBANSIRI LOWER",8,2004
"ARUNACHAL PRADESH","SUBANSIRI UPPER",1,2007
"ARUNACHAL PRADESH","SUBANSIRI UPPER",1,2011
"ARUNACHAL PRADESH","SUBANSIRI UPPER",3,2012
"ARUNACHAL PRADESH","SUBANSIRI UPPER",4,2001
"ARUNACHAL PRADESH","SUBANSIRI UPPER",4,2003
"ARUNACHAL PRADESH","SUBANSIRI UPPER",4,2005
"ARUNACHAL PRADESH","SUBANSIRI UPPER",4,2006
"ARUNACHAL PRADESH","SUBANSIRI UPPER",4,2008
"ARUNACHAL PRADESH","SUBANSIRI UPPER",4,2009
"ARUNACHAL PRADESH","SUBANSIRI UPPER",5,2002
"ARUNACHAL PRADESH","SUBANSIRI UPPER",5,2010
"ARUNACHAL PRADESH","SUBANSIRI UPPER",10,2004
"ARUNACHAL PRADESH",TAWANG,0,2002
"ARUNACHAL PRADESH",TAWANG,0,2003
"ARUNACHAL PRADESH",TAWANG,0,2004
"ARUNACHAL PRADESH",TAWANG,0,2006
"ARUNACHAL PRADESH",TAWANG,0,2011
"ARUNACHAL PRADESH",TAWANG,1,2009
"ARUNACHAL PRADESH",TAWANG,1,2010
"ARUNACHAL PRADESH",TAWANG,2,2001
"ARUNACHAL PRADESH",TAWANG,2,2005
"ARUNACHAL PRADESH",TAWANG,2,2008
"ARUNACHAL PRADESH",TAWANG,2,2012
"ARUNACHAL PRADESH",TAWANG,3,2007
"ARUNACHAL PRADESH",TIRAP,2,2003
"ARUNACHAL PRADESH",TIRAP,3,2002
"ARUNACHAL PRADESH",TIRAP,3,2004
"ARUNACHAL PRADESH",TIRAP,3,2005
"ARUNACHAL PRADESH",TIRAP,4,2010
"ARUNACHAL PRADESH",TIRAP,5,2009
"ARUNACHAL PRADESH",TIRAP,6,2012
"ARUNACHAL PRADESH",TIRAP,7,2006
"ARUNACHAL PRADESH",TIRAP,7,2007
"ARUNACHAL PRADESH",TIRAP,7,2008
"ARUNACHAL PRADESH",TIRAP,8,2001
"ARUNACHAL PRADESH",TIRAP,11,2011
"ARUNACHAL PRADESH",TOTAL,59,2009
"ARUNACHAL PRADESH",TOTAL,60,2006
"ARUNACHAL PRADESH",TOTAL,61,2002
"ARUNACHAL PRADESH",TOTAL,65,2011
"ARUNACHAL PRADESH",TOTAL,67,2004
"ARUNACHAL PRADESH",TOTAL,68,2007
"ARUNACHAL PRADESH",TOTAL,72,2008
"ARUNACHAL PRADESH",TOTAL,73,2012
"ARUNACHAL PRADESH",TOTAL,75,2010
"ARUNACHAL PRADESH",TOTAL,77,2003
"ARUNACHAL PRADESH",TOTAL,81,2005
"ARUNACHAL PRADESH",TOTAL,83,2001
"ARUNACHAL PRADESH","UPPER DIBANG VALLEY",0,2006
"ARUNACHAL PRADESH","UPPER DIBANG VALLEY",0,2009
"ARUNACHAL PRADESH","UPPER DIBANG VALLEY",0,2010
"ARUNACHAL PRADESH","UPPER DIBANG VALLEY",0,2011
"ARUNACHAL PRADESH","UPPER DIBANG VALLEY",0,2012
"ARUNACHAL PRADESH","UPPER DIBANG VALLEY",1,2007
"ARUNACHAL PRADESH","UPPER DIBANG VALLEY",2,2003
"ARUNACHAL PRADESH","UPPER DIBANG VALLEY",2,2008
"ARUNACHAL PRADESH","UPPER DIBANG VALLEY",3,2004
"ARUNACHAL PRADESH","UPPER DIBANG VALLEY",4,2005
ASSAM,BAKSA,38,2012
ASSAM,BARPETA,34,2012
ASSAM,BARPETA,38,2005
ASSAM,BARPETA,40,2007
ASSAM,BARPETA,43,2002
ASSAM,BARPETA,45,2011
ASSAM,BARPETA,46,2003
ASSAM,BARPETA,46,2009
ASSAM,BARPETA,48,2004
ASSAM,BARPETA,52,2010
ASSAM,BARPETA,54,2008
ASSAM,BARPETA,57,2006
ASSAM,BARPETA,64,2001
ASSAM,BASKA,21,2005
ASSAM,BASKA,25,2006
ASSAM,BASKA,29,2007
ASSAM,BASKA,29,2009
ASSAM,BASKA,44,2011
ASSAM,BASKA,58,2010
ASSAM,BASKA,67,2008
ASSAM,BIEO,0,2012
ASSAM,BONGAIGAON,13,2009
ASSAM,BONGAIGAON,15,2006
ASSAM,BONGAIGAON,15,2007
ASSAM,BONGAIGAON,15,2008
ASSAM,BONGAIGAON,17,2012
ASSAM,BONGAIGAON,19,2005
ASSAM,BONGAIGAON,22,2011
ASSAM,BONGAIGAON,27,2003
ASSAM,BONGAIGAON,27,2010
ASSAM,BONGAIGAON,36,2004
ASSAM,BONGAIGAON,45,2001
ASSAM,BONGAIGAON,47,2002
ASSAM,C.I.D.,0,2001
ASSAM,C.I.D.,0,2002
ASSAM,C.I.D.,0,2003
ASSAM,C.I.D.,0,2004
ASSAM,C.I.D.,0,2005
ASSAM,C.I.D.,0,2006
ASSAM,C.I.D.,0,2007
ASSAM,C.I.D.,0,2008
ASSAM,C.I.D.,0,2010
ASSAM,C.I.D.,0,2011
ASSAM,C.I.D.,1,2009
ASSAM,C.I.D.,1,2012
ASSAM,CACHAR,46,2004
ASSAM,CACHAR,51,2005
ASSAM,CACHAR,52,2001
ASSAM,CACHAR,54,2010
ASSAM,CACHAR,56,2008
ASSAM,CACHAR,56,2009
ASSAM,CACHAR,57,2002
ASSAM,CACHAR,58,2006
ASSAM,CACHAR,61,2007
ASSAM,CACHAR,64,2011
ASSAM,CACHAR,68,2003
ASSAM,CACHAR,72,2012
ASSAM,CHIRANG,12,2007
ASSAM,CHIRANG,17,2005
ASSAM,CHIRANG,21,2010
ASSAM,CHIRANG,24,2008
ASSAM,CHIRANG,27,2011
ASSAM,CHIRANG,34,2009
ASSAM,CHIRANG,39,2006
ASSAM,CHIRANG,40,2012
ASSAM,DARRANG,23,2007
ASSAM,DARRANG,25,2005
ASSAM,DARRANG,25,2006
ASSAM,DARRANG,27,2010
ASSAM,DARRANG,29,2009
ASSAM,DARRANG,31,2002
ASSAM,DARRANG,34,2011
ASSAM,DARRANG,36,2012
ASSAM,DARRANG,38,2008
ASSAM,DARRANG,61,2001
ASSAM,DARRANG,69,2004
ASSAM,DARRANG,73,2003
ASSAM,DHEMAJI,15,2001
ASSAM,DHEMAJI,17,2004
ASSAM,DHEMAJI,20,2003
ASSAM,DHEMAJI,20,2005
ASSAM,DHEMAJI,20,2007
ASSAM,DHEMAJI,20,2009
ASSAM,DHEMAJI,20,2010
ASSAM,DHEMAJI,21,2008
ASSAM,DHEMAJI,23,2006
ASSAM,DHEMAJI,23,2011
ASSAM,DHEMAJI,24,2012
ASSAM,DHEMAJI,30,2002
ASSAM,DHUBRI,40,2005
ASSAM,DHUBRI,40,2006
ASSAM,DHUBRI,44,2007
ASSAM,DHUBRI,44,2008
ASSAM,DHUBRI,45,2010
ASSAM,DHUBRI,53,2004
ASSAM,DHUBRI,53,2009
ASSAM,DHUBRI,60,2002
ASSAM,DHUBRI,61,2011
ASSAM,DHUBRI,64,2003
ASSAM,DHUBRI,65,2001
ASSAM,DHUBRI,65,2012
ASSAM,DIBRUGARH,77,2009
ASSAM,DIBRUGARH,81,2012
ASSAM,DIBRUGARH,85,2010
ASSAM,DIBRUGARH,89,2011
ASSAM,DIBRUGARH,97,2002
ASSAM,DIBRUGARH,99,2008
ASSAM,DIBRUGARH,104,2006
ASSAM,DIBRUGARH,107,2003
ASSAM,DIBRUGARH,110,2001
ASSAM,DIBRUGARH,112,2007
ASSAM,DIBRUGARH,113,2005
ASSAM,DIBRUGARH,125,2004
ASSAM,G.R.P.,2,2007
ASSAM,G.R.P.,3,2010
ASSAM,G.R.P.,4,2003
ASSAM,G.R.P.,4,2005
ASSAM,G.R.P.,6,2002
ASSAM,G.R.P.,6,2006
ASSAM,G.R.P.,6,2008
ASSAM,G.R.P.,7,2011
ASSAM,G.R.P.,8,2009
ASSAM,G.R.P.,13,2001
ASSAM,G.R.P.,15,2012
ASSAM,G.R.P.,17,2004
ASSAM,GOALPARA,23,2006
ASSAM,GOALPARA,24,2002
ASSAM,GOALPARA,28,2001
ASSAM,GOALPARA,30,2003
ASSAM,GOALPARA,31,2005
ASSAM,GOALPARA,31,2007
ASSAM,GOALPARA,31,2010
ASSAM,GOALPARA,35,2004
ASSAM,GOALPARA,36,2008
ASSAM,GOALPARA,39,2011
ASSAM,GOALPARA,51,2009
ASSAM,GOALPARA,55,2012
ASSAM,GOLAGHAT,52,2010
ASSAM,GOLAGHAT,53,2001
ASSAM,GOLAGHAT,55,2003
ASSAM,GOLAGHAT,55,2009
ASSAM,GOLAGHAT,56,2011
ASSAM,GOLAGHAT,57,2002
ASSAM,GOLAGHAT,58,2012
ASSAM,GOLAGHAT,61,2005
ASSAM,GOLAGHAT,65,2008
ASSAM,GOLAGHAT,71,2004
ASSAM,GOLAGHAT,72,2006
ASSAM,GOLAGHAT,80,2007
ASSAM,"GUWAHATI CITY",21,2004
ASSAM,"GUWAHATI CITY",39,2005
ASSAM,"GUWAHATI CITY",50,2003
ASSAM,"GUWAHATI CITY",50,2008
ASSAM,"GUWAHATI CITY",52,2010
ASSAM,"GUWAHATI CITY",58,2011
ASSAM,"GUWAHATI CITY",60,2002
ASSAM,"GUWAHATI CITY",60,2006
ASSAM,"GUWAHATI CITY",68,2007
ASSAM,"GUWAHATI CITY",71,2001
ASSAM,"GUWAHATI CITY",83,2012
ASSAM,"GUWAHATI CITY",86,2009
ASSAM,HAILAKANDI,12,2009
ASSAM,HAILAKANDI,18,2001
ASSAM,HAILAKANDI,18,2005
ASSAM,HAILAKANDI,18,2006
ASSAM,HAILAKANDI,20,2011
ASSAM,HAILAKANDI,22,2010
ASSAM,HAILAKANDI,24,2012
ASSAM,HAILAKANDI,25,2003
ASSAM,HAILAKANDI,25,2004
ASSAM,HAILAKANDI,26,2002
ASSAM,HAILAKANDI,27,2007
ASSAM,HAILAKANDI,27,2008
ASSAM,HAMREN,9,2012
ASSAM,JORHAT,26,2009
ASSAM,JORHAT,36,2012
ASSAM,JORHAT,37,2002
ASSAM,JORHAT,37,2006
ASSAM,JORHAT,38,2004
ASSAM,JORHAT,40,2001
ASSAM,JORHAT,46,2003
ASSAM,JORHAT,46,2007
ASSAM,JORHAT,48,2011
ASSAM,JORHAT,50,2010
ASSAM,JORHAT,51,2005
ASSAM,JORHAT,51,2008
ASSAM,KAMRUP,15,2004
ASSAM,KAMRUP,24,2003
ASSAM,KAMRUP,31,2005
ASSAM,KAMRUP,34,2002
ASSAM,KAMRUP,37,2001
ASSAM,KAMRUP,38,2010
ASSAM,KAMRUP,43,2006
ASSAM,KAMRUP,43,2009
ASSAM,KAMRUP,44,2011
ASSAM,KAMRUP,46,2008
ASSAM,KAMRUP,47,2007
ASSAM,KAMRUP,48,2012
ASSAM,"KARBI ANGLONG",33,2010
ASSAM,"KARBI ANGLONG",35,2012
ASSAM,"KARBI ANGLONG",40,2009
ASSAM,"KARBI ANGLONG",41,2002
ASSAM,"KARBI ANGLONG",42,2006
ASSAM,"KARBI ANGLONG",48,2011
ASSAM,"KARBI ANGLONG",55,2008
ASSAM,"KARBI ANGLONG",57,2004
ASSAM,"KARBI ANGLONG",65,2001
ASSAM,"KARBI ANGLONG",67,2003
ASSAM,"KARBI ANGLONG",73,2007
ASSAM,"KARBI ANGLONG",76,2005
ASSAM,KARIMGANJ,27,2008
ASSAM,KARIMGANJ,29,2007
ASSAM,KARIMGANJ,30,2005
ASSAM,KARIMGANJ,31,2003
ASSAM,KARIMGANJ,32,2001
ASSAM,KARIMGANJ,34,2009
ASSAM,KARIMGANJ,36,2012
ASSAM,KARIMGANJ,38,2006
ASSAM,KARIMGANJ,38,2010
ASSAM,KARIMGANJ,40,2004
ASSAM,KARIMGANJ,43,2002
ASSAM,KARIMGANJ,45,2011
ASSAM,KOKRAJHAR,38,2006
ASSAM,KOKRAJHAR,41,2007
ASSAM,KOKRAJHAR,43,2010
ASSAM,KOKRAJHAR,46,2003
ASSAM,KOKRAJHAR,46,2005
ASSAM,KOKRAJHAR,51,2011
ASSAM,KOKRAJHAR,53,2008
ASSAM,KOKRAJHAR,62,2002
ASSAM,KOKRAJHAR,63,2004
ASSAM,KOKRAJHAR,69,2009
ASSAM,KOKRAJHAR,87,2001
ASSAM,KOKRAJHAR,110,2012
ASSAM,LAKHIMPUR,26,2001
ASSAM,LAKHIMPUR,26,2002
ASSAM,LAKHIMPUR,31,2003
ASSAM,LAKHIMPUR,31,2004
ASSAM,LAKHIMPUR,31,2009
ASSAM,LAKHIMPUR,36,2005
ASSAM,LAKHIMPUR,37,2012
ASSAM,LAKHIMPUR,38,2011
ASSAM,LAKHIMPUR,41,2007
ASSAM,LAKHIMPUR,41,2008
ASSAM,LAKHIMPUR,43,2006
ASSAM,LAKHIMPUR,45,2010
ASSAM,MORIGAON,14,2003
ASSAM,MORIGAON,15,2010
ASSAM,MORIGAON,19,2004
ASSAM,MORIGAON,20,2001
ASSAM,MORIGAON,20,2008
ASSAM,MORIGAON,20,2012
ASSAM,MORIGAON,21,2007
ASSAM,MORIGAON,22,2005
ASSAM,MORIGAON,23,2002
ASSAM,MORIGAON,26,2009
ASSAM,MORIGAON,27,2006
ASSAM,MORIGAON,27,2011
ASSAM,N.C.HILLS,7,2004
ASSAM,N.C.HILLS,11,2005
ASSAM,N.C.HILLS,15,2012
ASSAM,N.C.HILLS,16,2011
ASSAM,N.C.HILLS,17,2001
ASSAM,N.C.HILLS,17,2010
ASSAM,N.C.HILLS,18,2006
ASSAM,N.C.HILLS,19,2003
ASSAM,N.C.HILLS,25,2002
ASSAM,N.C.HILLS,34,2007
ASSAM,N.C.HILLS,42,2008
ASSAM,N.C.HILLS,73,2009
ASSAM,NAGAON,74,2012
ASSAM,NAGAON,75,2003
ASSAM,NAGAON,75,2009
ASSAM,NAGAON,78,2002
ASSAM,NAGAON,79,2004
ASSAM,NAGAON,83,2006
ASSAM,NAGAON,83,2008
ASSAM,NAGAON,83,2010
ASSAM,NAGAON,88,2005
ASSAM,NAGAON,91,2011
ASSAM,NAGAON,92,2007
ASSAM,NAGAON,95,2001
ASSAM,NALBARI,17,2005
ASSAM,NALBARI,20,2011
ASSAM,NALBARI,21,2007
ASSAM,NALBARI,22,2012
ASSAM,NALBARI,23,2009
ASSAM,NALBARI,24,2006
ASSAM,NALBARI,24,2010
ASSAM,NALBARI,31,2008
ASSAM,NALBARI,35,2003
ASSAM,NALBARI,37,2004
ASSAM,NALBARI,47,2002
ASSAM,NALBARI,79,2001
ASSAM,R.P.O.,0,2002
ASSAM,R.P.O.,2,2003
ASSAM,R.P.O.,2,2012
ASSAM,R.P.O.,3,2008
ASSAM,R.P.O.,4,2009
ASSAM,R.P.O.,5,2006
ASSAM,R.P.O.,5,2007
ASSAM,R.P.O.,6,2004
ASSAM,R.P.O.,6,2010
ASSAM,R.P.O.,6,2011
ASSAM,R.P.O.,10,2005
ASSAM,R.P.O.,11,2001
ASSAM,SIBSAGAR,55,2003
ASSAM,SIBSAGAR,55,2004
ASSAM,SIBSAGAR,59,2001
ASSAM,SIBSAGAR,60,2010
ASSAM,SIBSAGAR,61,2005
ASSAM,SIBSAGAR,61,2011
ASSAM,SIBSAGAR,68,2009
ASSAM,SIBSAGAR,71,2012
ASSAM,SIBSAGAR,75,2002
ASSAM,SIBSAGAR,77,2006
ASSAM,SIBSAGAR,78,2007
ASSAM,SIBSAGAR,108,2008
ASSAM,SONITPUR,81,2010
ASSAM,SONITPUR,84,2011
ASSAM,SONITPUR,86,2001
ASSAM,SONITPUR,87,2004
ASSAM,SONITPUR,87,2005
ASSAM,SONITPUR,88,2006
ASSAM,SONITPUR,91,2012
ASSAM,SONITPUR,94,2008
ASSAM,SONITPUR,98,2003
ASSAM,SONITPUR,102,2007
ASSAM,SONITPUR,109,2002
ASSAM,SONITPUR,109,2009
ASSAM,TINSUKIA,48,2006
ASSAM,TINSUKIA,79,2003
ASSAM,TINSUKIA,85,2009
ASSAM,TINSUKIA,86,2012
ASSAM,TINSUKIA,92,2005
ASSAM,TINSUKIA,96,2010
ASSAM,TINSUKIA,98,2011
ASSAM,TINSUKIA,107,2001
ASSAM,TINSUKIA,114,2008
ASSAM,TINSUKIA,115,2002
ASSAM,TINSUKIA,117,2004
ASSAM,TINSUKIA,143,2007
ASSAM,TOTAL,1191,2003
ASSAM,TOTAL,1194,2005
ASSAM,TOTAL,1207,2006
ASSAM,TOTAL,1214,2004
ASSAM,TOTAL,1223,2010
ASSAM,TOTAL,1253,2002
ASSAM,TOTAL,1303,2011
ASSAM,TOTAL,1323,2009
ASSAM,TOTAL,1356,2001
ASSAM,TOTAL,1368,2012
ASSAM,TOTAL,1374,2007
ASSAM,TOTAL,1426,2008
ASSAM,UDALGURI,31,2006
ASSAM,UDALGURI,33,2012
ASSAM,UDALGURI,37,2007
ASSAM,UDALGURI,37,2011
ASSAM,UDALGURI,39,2005
ASSAM,UDALGURI,45,2010
ASSAM,UDALGURI,47,2009
ASSAM,UDALGURI,56,2008
BIHAR,ARARIA,47,2001
BIHAR,ARARIA,48,2007
BIHAR,ARARIA,49,2003
BIHAR,ARARIA,50,2008
BIHAR,ARARIA,50,2009
BIHAR,ARARIA,53,2010
BIHAR,ARARIA,61,2002
BIHAR,ARARIA,63,2006
BIHAR,ARARIA,66,2004
BIHAR,ARARIA,68,2005
BIHAR,ARARIA,69,2011
BIHAR,ARARIA,81,2012
BIHAR,ARWAL,19,2007
BIHAR,ARWAL,20,2012
BIHAR,ARWAL,22,2006
BIHAR,ARWAL,23,2009
BIHAR,ARWAL,23,2010
BIHAR,ARWAL,23,2011
BIHAR,ARWAL,28,2005
BIHAR,ARWAL,28,2008
BIHAR,ARWAL,30,2003
BIHAR,ARWAL,36,2004
BIHAR,ARWAL,37,2001
BIHAR,ARWAL,44,2002
BIHAR,AURANGABAD,60,2005
BIHAR,AURANGABAD,67,2009
BIHAR,AURANGABAD,68,2007
BIHAR,AURANGABAD,74,2001
BIHAR,AURANGABAD,77,2004
BIHAR,AURANGABAD,82,2006
BIHAR,AURANGABAD,84,2003
BIHAR,AURANGABAD,88,2011
BIHAR,AURANGABAD,89,2012
BIHAR,AURANGABAD,92,2008
BIHAR,AURANGABAD,96,2002
BIHAR,AURANGABAD,97,2010
BIHAR,BAGAHA,26,2008
